Job Title,Location,Date,Link,Job Attributes,Job Description
Awake Overnights-Teen Living/Parenting-Melrose,Melrose,May 14,https://boston.craigslist.org/gbs/npo/d/melrose-awake-overnights-teen-living/7123939407.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Awake Overnight Opportunities - Teen Living/Parenting Program

Full-Time & Part-Time Shifts:  Chelsea&Melrose (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
"Family Advocate, Head Start",Cambridge/Somerville,May 13,https://boston.craigslist.org/gbs/npo/d/somerville-family-advocate-head-start/7123507216.html,"
compensation: $33,342 annually, union, fully benefitted

employment type: full-time

non-profit organization

","

QR Code Link to This Post


The Family Advocate provides a wide range of critical supports to parents in their efforts to improve the conditions and quality of their lives, and is key to the success of families in the Head Start Program.  The work of Family Advocates enables us to assess the particular needs of each family as they enter the program, help parents set educational and social goals for themselves and their children, and track progress and outcomes against those goals.  Family Advocates are assigned a caseload of one to three classrooms, and are responsible for ongoing liaison work between parents and children, and for appropriate referrals and interventions.

1.	  Assists in the enrollment process of all families into the Head Start Program by    
          completing applications with new families coming into the office.

2.	    Maintains up-to-date Family Partnership Agreements for each assigned child and 
          family by documenting all goals and objectives set with parents and by maintaining
          all pertinent family and health follow-up information and places them in the child's file;           note progress against goals throughout the program year.

3.	Works with the Parent Resource supervisor to encourage parent participation in   committees and educational programming.

4.	Develops two-way communication with parents; shares information during home visits, telephone conversations, and other meetings as appropriate.  Uses technology as required to maintain contact with families.


5.	 Advocates for families in need of services by making appropriate referrals for
        community services and resources and by assisting parents in filling out pertinent   
        paper work to access services.

6.	   Assists in open communication within the program by participating in supervisory 
          meetings, staff meetings, and in-service trainings.

 7.      Develops and maintains professional expertise by attending meetings, conferences, 
          and trainings pending funding.

 8.      Functions as a member of the Head Start Program by carrying out the mission of  
          CAAS and the Head Start Program. 

9.  	Inputs accurate and complete information into the database on a regular basis.


QUALIFICATIONS:

Minimum: At least two years experience working with children and families, familiar with community agencies in the areas of social services. Associated Degree in Human Services, related field, or a licensed Social Worker required.  Must be proficient in computers and be able to use technology to maintain contact with and meet with families..  Must have excellent written, oral communication, and organizational skills. Ability to speak another language, Sensitive to the needs of low income and culturally, linguistically, and racially diverse populations.

"
"Lead Teacher, Head Start",Cambridge/Somerville,May 13,https://boston.craigslist.org/gbs/npo/d/somerville-lead-teacher-head-start/7123504820.html,"
compensation: $18.64 per hour, union, fully benefitted

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Oversees and implements a safe, healthy, and developmentally age-appropriate classroom for children 3 to 5 years old in accordance with EEC regulations and Head Start performance standards. Works within a team of teachers and family support staff to ensure that families are engaged in their children’s learning and children are prepared for Kindergarten.

Responsibilities include:

•	Maintain a classroom structure and daily schedule designed to promote children’s development in accordance with the Head Start Early Learning Outcomes Frameworks 5 Central Domains: Approaches to Learning; Social and Emotional Development; Language and Literacy; Cognition; and Perceptual, Motor, and Physical Development. 
•	Conduct classroom activities remotely as required; maintain contact with families using social media and other technology.l
•	Plan and implement curriculum in conjunction with the program-wide curriculum schedule, while ensuring individualization to meet each child’s unique needs.
•	Use culturally competent classroom management techniques that promote each child’s self-esteem and self-help skills, using the positive discipline approach to help children resolve conflicts and manage behavior.
•	Conduct fall, winter, and spring formal assessment of each child using the Teaching Strategies Gold online assessment platform. Share assessments and discuss each child’s growth with parents during one-on-one conferences.
•	Ensure ongoing communication with key Head Start staff regarding each child’s development and family well-being. Carefully document concerns and bring them to the attention of the Education Specialist and Family Advocate. Attend Case Conferences as needed to discuss plans for children needing additional support.
•	Prepare and maintain all routine documentation and other paperwork required for state licensure and under our meal program and federal grant requirements.
•	Follow proper health and safety protocol to ensure the classroom environment and all daily activities adhere to strict health and safety best practices.
•	Create a culturally responsive and welcoming environment for each family; encourage family participation in classroom routines and special events. Conduct a home visit at each new family’s home at the start of each year and host an open house to welcome all families to the school year to build bridges between school and home. Be prepared to check in verbally with each parent at either drop-off or pick-up times on a daily basis. Actively value each parent as the expert in their child and engage them in a collaborative approach to their child’s development.
•	Supervise the Assistant Teacher and any classroom volunteers and/or substitute teachers. Conduct an annual evaluation of the Assistant Teacher that is designed to support his/her professional growth.
•	Participate in coaching when offered and in supervision meetings with the Education Specialists and/or the Director of Child Development.
•	Attend all required team meetings, advocate meetings, program meetings, and in-service training days, as schedules permit.
•	Pursue ongoing professional growth and maintain compliance with state and federal professional development and qualifications requirements through relevant in-service and external training opportunities.


QUALIFICATIONS:

•	EEC Lead Teacher qualification
•	Bachelor’s degree in Early Childhood Development or related field
•	Minimum 18 months experience working with young children
•	Ability to continue to meet Head Start professional development requirements.
•	Experience in staff supervision, curriculum planning, and classroom management.
•	Computer proficiency, ability to use technology to conduct remote learning,  and ability to learn new systems for digital record-keeping
•	Strong written, oral, communication, and organizational skills
•	Sensitivity to the needs of low-income and a culturally, linguistically and racially diverse population; preparedness to work with children experiencing trauma and willingness to develop the knowledge, skill, and ability to successfully work with such populations.
•	Ability to speak another language preferred.
•	Note: This position requires taking daily walks, lifting up to 50 lbs, and standing/sitting/moving for a minimum of 5 hours per day.
"
"Assistant Teacher, Head Start",Cambridge/Somerville,May 13,https://boston.craigslist.org/gbs/npo/d/somerville-assistant-teacher-head-start/7123503013.html,"
compensation: $17.46 per hour; union, fully benefitted

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Provides and assists in the development of a safe, healthy, and developmentally age appropriate classroom environment for children 3 to 5 years of age, in accordance with EEC regulations and Head Start performance standards. Ensure that Head Start and CAAS meets their objective of empowering and serving low-income and culturally diverse children and families of Somerville and Cambridge. 

1.	  Assists in the development and the delivery of a safe, healthy and developmentally age-    
          appropriate classroom environment by meeting regularly with the Lead Teacher, Family              Advocates, and program staff.  Uses technology to deliver classroom activities and 
          maintain contact with families.

 2.      Provides continuity for the children in the classroom by assuming responsibility and 
          supervising the classroom in the absence of the Lead Teacher.

 3.      Assists in maintaining up-to-date records for each child enrolled in the classroom by 
          documenting all pertinent information and placing them in the child's file.

     4.      Welcomes parent participation in the program by encouraging them to volunteer in the 
          classroom, assist on field trips, attend meetings, and participate in training sessions.

 5.      Assists in the overall security of the Head Start centers by ensuring parents and other
          people sign in and out of the facility.

 6.      Assists in open communication with parents by sharing information via home visits,          
          parent/teacher conferences, and other meetings, as appropriate.

7.	   Ensures communication within the program by participating in supervisory meetings, 
   staff meetings, and in-service trainings.

 8.      Develops and maintains professional expertise by attending meetings conferences, 
          and trainings pending funding.

 9.      Functions as a member of the Head Start Program by carrying out the mission of CAAS              and the Head Start Program.

10.     Ensures CAAS's flexibility in responding to the needs of the low-income and 
          culturally diverse community by performing other duties as assigned.

QUALIFICATIONS:
Minimum:  CDA with ongoing coursework required; AA in early childhood or related field preferred.  Ability to continue to meet Head Start professional development requirements must have the ability to take daily walks, lift 50 lbs. and stand for a minimum of 5 hours per day.  Must be interested in continuing education in the early childhood field.  Ability to work with others and must be proficient in computers and have the ability to use technology to conduct classroom activities remotely.. Must have excellent written, oral, communication, and organizational skills, ability to speak another language preferred. Sensitive to the needs of low-income and culturally, linguistically and racially diverse population.
"
Animal Care Assistant Manager,Dedham,May 12,https://boston.craigslist.org/gbs/npo/d/dedham-animal-care-assistant-manager/7123049892.html,"
compensation: Hourly

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Are you mission driven and interested in working in the field of Animal Welfare? The Animal Rescue League of Boston (ARL), one of New England’s leading animal welfare organizations, is looking for a Full-Time Animal Care Assistant Manager to join our Dedham Shelter.
The ARL is a leader in animal safety by keeping animals in homes and out of shelters, and by eliminating the conditions that lead to neglect and abuse.
While we make every effort possible to help keep an animal where they belong -in their home or habitat- it’s inevitable that some animals in need will make their way into our shelters before they can be connected with a loving family.
ARL’s Animal Care and Adoption services include intake and surrender, shelter and care, behavioral assessment, enrichment, and adoption. These services are offered at three centers located in Boston, Brewster, and Dedham.
ARL has animals of many types, breeds, sizes, ages, and temperaments at our adoption centers looking for permanent homes.
In addition to our standard benefits package that we offer to our full-time employees, we also offer: 
•	Set 4-day workweek
•	Paid Time Off; Vacation, Sick & Personal
•	Health, Dental, and Vision 
•	11 company paid holidays
•	Retirement Plan with employer matching programs
•	Generous pet care reimbursement and discounts
"
"Site Supervisor - $1,000 Sign On Bonus",N/A,May 12,https://boston.craigslist.org/nos/npo/d/newton-lower-falls-site-supervisor-sign/7122936600.html,"
compensation: competitive

employment type: full-time

non-profit organization

","

QR Code Link to This Post


We make a difference- in your community and in your career

 Are you looking for a rewarding and flexible career as a Site Supervisor?

 We are looking for caring, compassionate, and hardworking  Site Supervisor for our site in Newton!

We have a great full time opportunity available to join our growing, stable and highly regarded organization, obtaining human services experience while making a difference in the lives of others. 

Our Residential Services provide a framework from which to support individuals with developmental and cognitive disabilities learn daily living skills, develop meaningful relationships, and gain opportunities from becoming part of their community.  Our dedicated staff creates a safe, warm environment and supports the residents in participating in community activities, providing transportation to medical appointments, managing their finances, and much more.


In collaboration with the Program Director or Director of Residential Services, the Site Supervisor is responsible for the over-all supervision of one home, and for providing residential supports to individuals with intellectual disabilities, developmental disabilities, and/or brain injury.



Comprehensive orientation and training is provided.



$1,000 Sign-On Bonus:  $500.00 at hire and $500.00 after you complete 6 months of service



Excellent work-life balance as a manager! Get overtime if you work over 40 hours and on call coverage is on a rotation with other managers!



Schedule: Tues, Wed, Fri 9am-5pm, Thurs 12pm-8pm, Sat 8am-4pm (40 hours/week)

Required Skills:
Bachelor's degree preferred.
Excellent communication and organizational skills required.

Required Experience:
Previous supervisory experience strongly preferred.
A minimum of three years of experience working with individuals with developmental disabilities with at least one year in residential services required.


Riverside Community Care is dedicated to the goal of building a culturally diverse and inclusive organization committed to working in a multicultural environment and strongly encourages applications from culturally diverse applicants. We provide equal opportunity for all persons seeking employment without regard to race, age, color, religion, gender, gender identity and expression, marital status, sexual orientation, military status, national origin, disability, or any other characteristic as established by law.

Please apply today:

https://riversidecc-openhire.silkroad.com/epostings/index.cfm?fuseaction=app.jobinfo&jobid=3563&source=ONLINE&JobOwner=992438&company_id=16709&version=1&byBusinessUnit=NULL&bycountry=0&bystate=0&byRegion=NULL&bylocation=NULL&keywords=&byCat=36332&proximityCountry=&postalCode=&radiusDistance=&isKilometers=&tosearch=yes&city= "
"Site Supervisor - $1,000 Sign On Bonus",N/A,May 12,https://boston.craigslist.org/sob/npo/d/newton-lower-falls-site-supervisor-sign/7122934465.html,"
compensation: competitive

employment type: full-time

non-profit organization

","

QR Code Link to This Post


We make a difference- in your community and in your career

 Are you looking for a rewarding and flexible career as a Site Supervisor?

 We are looking for caring, compassionate, and hardworking  Site Supervisor for our site in Newton!

We have a great full time opportunity available to join our growing, stable and highly regarded organization, obtaining human services experience while making a difference in the lives of others. 

Our Residential Services provide a framework from which to support individuals with developmental and cognitive disabilities learn daily living skills, develop meaningful relationships, and gain opportunities from becoming part of their community.  Our dedicated staff creates a safe, warm environment and supports the residents in participating in community activities, providing transportation to medical appointments, managing their finances, and much more.


In collaboration with the Program Director or Director of Residential Services, the Site Supervisor is responsible for the over-all supervision of one home, and for providing residential supports to individuals with intellectual disabilities, developmental disabilities, and/or brain injury.



Comprehensive orientation and training is provided.



$1,000 Sign-On Bonus:  $500.00 at hire and $500.00 after you complete 6 months of service



Excellent work-life balance as a manager! Get overtime if you work over 40 hours and on call coverage is on a rotation with other managers!



Schedule: Tues, Wed, Fri 9am-5pm, Thurs 12pm-8pm, Sat 8am-4pm (40 hours/week)


Required Skills:
Bachelor's degree preferred.
Excellent communication and organizational skills required.

Required Experience:
Previous supervisory experience strongly preferred.
A minimum of three years of experience working with individuals with developmental disabilities with at least one year in residential services required.


Riverside Community Care is dedicated to the goal of building a culturally diverse and inclusive organization committed to working in a multicultural environment and strongly encourages applications from culturally diverse applicants. We provide equal opportunity for all persons seeking employment without regard to race, age, color, religion, gender, gender identity and expression, marital status, sexual orientation, military status, national origin, disability, or any other characteristic as established by law.

Please apply today:

https://riversidecc-openhire.silkroad.com/epostings/index.cfm?fuseaction=app.jobinfo&jobid=3563&source=ONLINE&JobOwner=992438&company_id=16709&version=1&byBusinessUnit=NULL&bycountry=0&bystate=0&byRegion=NULL&bylocation=NULL&keywords=&byCat=36332&proximityCountry=&postalCode=&radiusDistance=&isKilometers=&tosearch=yes&city= "
Site Supervisor - $1K Sign-On Bonus offered!,Newton,May 12,https://boston.craigslist.org/bmw/npo/d/newton-lower-falls-site-supervisor-1k/7122930369.html,"
compensation: competitive

employment type: full-time

non-profit organization

","

QR Code Link to This Post


We make a difference- in your community and in your career

 Are you looking for a rewarding and flexible career as a Site Supervisor?

 We are looking for caring, compassionate, and hardworking  Site Supervisor for our site in Newton!

We have a great full time opportunity available to join our growing, stable and highly regarded organization, obtaining human services experience while making a difference in the lives of others. 

Our Residential Services provide a framework from which to support individuals with developmental and cognitive disabilities learn daily living skills, develop meaningful relationships, and gain opportunities from becoming part of their community.  Our dedicated staff creates a safe, warm environment and supports the residents in participating in community activities, providing transportation to medical appointments, managing their finances, and much more.


In collaboration with the Program Director or Director of Residential Services, the Site Supervisor is responsible for the over-all supervision of one home, and for providing residential supports to individuals with intellectual disabilities, developmental disabilities, and/or brain injury.



Comprehensive orientation and training is provided.



$1,000 Sign-On Bonus:  $500.00 at hire and $500.00 after you complete 6 months of service



Excellent work-life balance as a manager! Get overtime if you work over 40 hours and on call coverage is on a rotation with other managers!



Schedule: Tues, Wed, Fri 9am-5pm, Thurs 12pm-8pm, Sat 8am-4pm (40 hours/week)

Required Skills:
Bachelor's degree preferred.
Excellent communication and organizational skills required.

Required Experience:
Previous supervisory experience strongly preferred.
A minimum of three years of experience working with individuals with developmental disabilities with at least one year in residential services required.


Riverside Community Care is dedicated to the goal of building a culturally diverse and inclusive organization committed to working in a multicultural environment and strongly encourages applications from culturally diverse applicants. We provide equal opportunity for all persons seeking employment without regard to race, age, color, religion, gender, gender identity and expression, marital status, sexual orientation, military status, national origin, disability, or any other characteristic as established by law.

Please apply today:

https://riversidecc-openhire.silkroad.com/epostings/index.cfm?fuseaction=app.jobinfo&jobid=3563&source=ONLINE&JobOwner=992438&company_id=16709&version=1&byBusinessUnit=NULL&bycountry=0&bystate=0&byRegion=NULL&bylocation=NULL&keywords=&byCat=36332&proximityCountry=&postalCode=&radiusDistance=&isKilometers=&tosearch=yes&city= "
Residential Counselor,"Haverhill, MA",May 12,https://boston.craigslist.org/nos/npo/d/haverhill-residential-counselor/7122878668.html,"
compensation: $15.00 an hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


NFI Massachusetts Inc., a non-profit human service agency, is currently seeking individuals who are invested in making an impact in a young person's life. We are hiring Youth Counselors for our program in Haverhill, MA.
   
The programs work with youth who are referred to us and are in need of temporary out-of-home placement. The Youth Counselor will provide support and supervision which includes life skills training, social and interpersonal skill development and community engagement. NFI's goal is to help maximize each youth's potential and assist them in becoming as autonomous and independent in order to navigate the larger community in a healthier and safer way. 

We are seeking dedicated and qualified candidates with strong leadership skills to provide direct care to youth served within the program. The goal is to provide these youth support, mentoring, guidance and to demonstrate positive role modeling so they may elect healthier choices to and learn new skills to use upon their discharge from the program.

Hourly rate: $15.00

Status: Full time/ Part time

Schedule: 2nd Shift: 3:00pm-11:00pm

Job Requirements:

Associate's or Bachelor's degree in psychology, sociology or other related field of study preferred.
Valid driver's license and a reliable insured vehicle is a must.
Must be 21 years of age.

Please apply online at:
https://recruiting.ultipro.com/NOR1043NAFI/JobBoard/331fa188-0c5e-433a-b685-1bd95da427de/Opportunity/OpportunityDetail?opportunityId=17d3d0de-3d6a-45de-9c90-b0adb034ae34 "
"CEO, Jamaica Plain Neighborhood Development Corporation",Jamaica Plain,May 12,https://boston.craigslist.org/gbs/npo/d/jamaica-plain-ceo-jamaica-plain/7122789288.html,"
compensation: Salary is commensurate with experience, within the framework of the organization’s annual operating budget.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


JPNDC undertakes an executive search for a collaborative, engaging and experienced professional to help lead this highly respected, culturally rich organization, with an eye to maintaining its successful legacy of community-driven revitalization and economic prosperity.  The new leader will be replacing long-term CEO, Richard Thal, who is retiring from the position.

About JPNDC
In 1977, in an era of urban neglect, residents of Jamaica Plain decided to take their Boston community’s future into their own hands. Forming the Jamaica Plain Neighborhood Development Corporation (JPNDC), they set out to create economic opportunity, replace blight with new homes and businesses, and engage people who lived here in the decisions that affected their lives. Over four decades, in response to growing demand, its geographic scope has expanded and JPNDC has evolved into one of Boston's top providers of bilingual (Spanish/English) asset-building services to low-income people of color.  

Today, the challenges have shifted due to gentrification and its cousins - the explosion of high-priced housing development and dramatically reduced economic mobility. The relentless housing crisis is not only driving the continued displacement of low-income households but shutting JPNDC out of many development opportunities. With humble, yet bold and steadfast commitment, JPNDC expanded its role in housing and economic development to two neighborhoods outside Jamaica Plain, while deepening its strategic commitment to Jamaica Plain. It also plans to foster long-term economic prosperity and wealth building, invest in community organizing as essential to building racial, economic, and social equity, and promote racial equity in all aspects of its work. 

The work is carried out in three major, equally regarded program areas: affordable housing and commercial real estate development, economic prosperity, and community organizing. Highlights of the work ahead are:
	Advancing the most ambitious housing development pipeline in JPNDC’s history, developing 550+ affordable homes that allow low-income people to thrive in Boston. 
	Redeveloping 4,000 square feet of The Brewery as a Prosperity Center, where 1,000 low-income families a year from all over Boston can overcome the odds and build long-term financial security. 
	Expanding early childhood education services to support families and help 500 low income children each year stay on track for success in school.  
	As part of Small Business Services, building JPNDC’s innovative Small Contractors Success Initiative and connecting small construction businesses owned by people of color or women to new contracts worth at least $15 million. 
	Continuing partnerships with residents of Mildred Hailey Apartments, supporting leaders and ensuring that future redevelopment meets the needs of local low-income families. 
	Building a strong leadership pipeline for JPNDC’s board and staff, with emphasis on young leaders and people of color who reflect its constituency.

The culture of JPNDC is the driving force of its success. JPNDC is grassroots and values-driven, embracing its belief in collective action, racial equity, and honoring people’s differences and diverse perspectives. JPNDC has earned the community's respect with honesty, transparency, and accountability. 

Located in the Brewery complex that JPNDC owns and operates in Jamaica Plain, JPNDC employs 33 staff across five departments who are celebrated for their expertise and their supportive and dedicated approach to the work. JPNDC’s annual operating budget is $7 million. It owns and oversees the management of 700+ permanently affordable homes in 17 different projects, as well as three commercial projects. The annual budgets of those properties total approximately $14 million. In addition, each year on average the organization is managing the development of new real estate projects with total budgets in the range of $50 million. Years of strategic and conservative fiscal decision-making combined with opportunistic and talented community development have positioned JPNDC with a solid, diverse fiscal portfolio. The 14-member Board is actively engaged as a working board, serving as thought partners and community advocates, and planners for sustainability using five committees and co-chair leadership. 

Opportunity going forward
In addition to managing JPNDC’s strong portfolio of work and a nonprofit of JPNDC’s complexity, the next CEO will be responsible for overseeing and directing the organization’s continued development in the following areas:

Developing and implementing JPNDC’s ambitious five-year strategic plan through 2023.  The plan lays out multi-year strategies of intentional growth. The COVID19 pandemic challenges the timing of the implementation plan and the ability to generate sufficient resources and will be an important responsibility of the CEO, with the Board and staff, to sort out and manage.

Carrying forward the deep traditions of community building, impact and organizing. Adherence to the grassroots tradition of listening to and engaging the community is a must. 

Deepening racial equity work.  While great credit is given to JPNDC’s work in developing its understanding and practices of racial equity, diversity and inclusion, the agency’s efforts need to continue in hiring and mentoring diverse staff leadership, building and training a board that represents the constituency, and employing equity practices in shared decision-making and professional development.

Organizing the services under a Theory of Change. Continue the integration of departments, cross-department communication and functioning by understanding the way impact is achieved throughout the whole organization and determining consistent approaches to the work.

Claiming JPNDC rich history and impact. Using all avenues of marketing, tell JPNDC’s story without compromising the collaborative nature of community and partner involvement, all to better share the impact of its work to garner further credibility, recognition, and financial support.

Overseeing an internal operations upgrade.  Delegating the details to skilled and trusted staff, oversee the building, modernizing, and automation of operational systems to free up staff and the board to be more efficient and aligned in their work. Invest in the physical office space to create an attractive, professional, and efficient work environment.

Planning for staff succession. Attend to the predicted vacancies in a senior leadership with considerable career longevity and establish a culture of mentoring, supervision, and coaching, to provide an intentional pipeline for professional growth, knowledge retention, and grooming staff of color for leadership positions. 

Qualifications:
JPNDC is seeking an experienced nonprofit leader who can champion a strong, well established organization. Ideal applicants will have:
	Working knowledge of real estate development, economic mobility strategies, and community organizing; an understanding the work of CDCs. 
	Working knowledge of real estate development, economic mobility strategies, and community organizing; an understanding of the work of CDCs.
	An established ability to be a resource broker with demonstrated experience and success with securing funding from multiple sources: corporate gifts, capital campaigns, individual giving, and grant writing.
	Demonstrated leadership in racial equity. Credible experience taking leadership in a multi-ethnic, multi-racial organization in which social, economic and racial justice and equity are imperatives. 
	Financial acumen. Aptitude for reading, analyzing, and reporting on complex finances commensurate with a $7M CDC with a significant portfolio of properties.
	Strong people skills; a relationship builder. Be diplomatic, kind, a positive problem solver, flexible, amiable, consistent, and decisive. 
	A collaborative style and proven community engagement experience in an urban setting like Jamaica Plain.
	At least seven years of increasing leadership experience, with confidence in the assessment and supervision of talented professional staff.  Demonstrated experience with organizational management and sound business practices.
	Experience being an eager public face for an organization or cause. Skilled communicator with proven writing competency. 
	An appetite for intelligent risk. Strategic agility that leverages opportunities and optimizes innovation.
	An understanding of the unique, politically lively environment inherent in the community development field, and proven ability and charisma to navigate it. 
	Experience with responding to emerging models, new technologies, and the assets of the millennial work environment.
	Bilingual (Spanish/English) speaking competency is a plus.

Application Guidelines
Candidates must include a resume and a cover letter that describes how their qualifications and experience match the needs and mission of JPNDC. Applications will be accepted until the position has been filled. Submit required document at: https://eostransitions.applicantpool.com/jobs/

JPNDC is an Equal Employment Opportunity employer and strongly desires to attract a broad and diverse pool of applicants, particularly candidates of color, female candidates, and/or candidates who know or represent the communities JPNDC serves. This is a full-time position offering a competitive salary and benefits commensurate with skill and experience. 

This executive search is being conducted by Eos Transition Partners consultant Nancy Jackson. All submissions will be acknowledged and are confidential.

"
Direct Support Professional,N/A,Jun 10,https://worcester.craigslist.org/npo/d/worcester-direct-support-professional/7139219666.html,"
compensation: $13.17 - $13.61

employment type: employee's choice

","

QR Code Link to This Post



Venture Community Services, a Human Services company headquarter in Sturbridge Mass has great employment opportunities at our Forest St, Worcester, Mass; program for Direct Support Professionals.  We are looking for hard working dedicated individuals who are not afraid to make a difference in the lives of others while building a career with a future. We offer a terrific benefit package (Medical, Dental, Short & Long Term Disability, 403(b)), promote from within. A Sign on Bonus of a $1,000 for full time and $500 to part-time positions is currently being offered to new hires. If you are looking for a Full-Time, Part-Time or Overnight Awake opening, look at the opening we currently have. Please visit us at https://venturecs.org/learn-more/employment/. Once there, click on “Apply Today”. This will take you to a second screen. On the “Search Box” enter program number “402”; this will pull all open positions for this location. Review job description, schedules, and apply. 

Job Overview:

The Direct Support Professional (DSP) reports to the Residential House Manager or the Assistant Residential House Manager, and is responsible for the daily care, supervision and safety of developmentally disabled individuals in both the residential and community settings. The DSP will follow through on assignments set by the Residential House Manager and will be responsible for the day-to-day implementation of the Individual Support Plans and Behavioral Management Plans. 

Job Requirements:
• High School Degree or G.E.D.
• Must be 21+ years old, have a valid driver’s license, daily use of a car on site (preferred but not required) and be available by telephone for contact.

"
Homeless Shelter Direct Care Staff needed,N/A,Jun  6,https://worcester.craigslist.org/npo/d/fitchburg-homeless-shelter-direct-care/7137280863.html,"
compensation: Salary Commensurate With Experience

employment type: employee's choice

non-profit organization

","

QR Code Link to This Post


Our Father's House Emergency homeless shelter, in Fitchburg, is looking to hire direct care staff with experience. Great starting pay. We are a 28 bed night-time Shelter for sober men and women.

Our direct care shifts are 4 p.m. - 12 a.m., 12-8 a.m., and Saturday & Sunday 8 a.m. - 4 p.m.

We have both part and full time positions open. Benefits are available.

Direct Care employees wear many hats - they work with the guests (residents) of the Shelter, offering dignity and respect.

As a direct care worker, you are the front line. Duties include, searches, intakes, telephone screenings, cooking, cleaning, note taking, documentation, medication oversight, for example.

On the early shift there are 3-4 staff working. On the overnight, which is an awake shift, there are 2 staff working. We don't allow anyone to enter the shelter on the overnight, as the building is locked, and secure.

Please respond with either a resume, or at least some info about your work history, and why you think working for Our Father's House is right for you.
"
